pip_auc_percentile,pip_auc_score
0,0
0.001,0.0015072
0.002,0.0050144
0.003,0.0092
0.004,0.0123872
0.005,0.01499
0.006,0.0165728
0.007,0.01833
0.008,0.0219304
0.009,0.0229648
0.01,0.02418
0.011,0.0253
0.012,0.0261296
0.013,0.0282872
0.014,0.0300544
0.015,0.0311
0.016,0.0324152
0.017,0.0336672
0.018,0.0345648
0.019,0.0363104
0.02,0.037388
0.021,0.0386048
0.022,0.0394376
0.023,0.0406452
0.024,0.0412
0.025,0.04187
0.026,0.0425936
0.027,0.0434888
0.028,0.0442008
0.029,0.0448352
0.03,0.045808
0.031,0.0474348
0.032,0.0486912
0.033,0.0516692
0.034,0.0525224
0.035,0.053426
0.036,0.0543664
0.037,0.0562996
0.038,0.0585048
0.039,0.0594404
0.04,0.0601
0.041,0.062276
0.042,0.0631024
0.043,0.0650096
0.044,0.065592
0.045,0.0664
0.046,0.067556
0.047,0.0685076
0.048,0.0701192
0.049,0.0723112
0.05,0.07358
0.051,0.0750836
0.052,0.0762848
0.053,0.0770908
0.054,0.0785552
0.055,0.079298
0.056,0.0810048
0.057,0.081726
0.058,0.0836088
0.059,0.084324
0.06,0.0854
0.061,0.0862
0.062,0.0866552
0.063,0.0878536
0.064,0.0889912
0.065,0.089972
0.066,0.0911256
0.067,0.0925
0.068,0.0934896
0.069,0.0946452
0.07,0.0952
0.071,0.0963668
0.072,0.0970368
0.073,0.0985884
0.074,0.0990328
0.075,0.09954
0.076,0.0999736
0.077,0.1004772
0.078,0.1008808
0.079,0.1027128
0.08,0.103964
0.081,0.1044832
0.082,0.105476
0.083,0.1062964
0.084,0.1074048
0.085,0.108848
0.086,0.1100016
0.087,0.1124396
0.088,0.113
0.089,0.1136204
0.09,0.114536
0.091,0.1165312
0.092,0.1177
0.093,0.1181348
0.094,0.1190384
0.095,0.119926
0.096,0.1216368
0.097,0.122346
0.098,0.1230056
0.099,0.1235128
0.1,0.12406
0.101,0.124618
0.102,0.1259704
0.103,0.1278708
0.104,0.1286488
0.105,0.129178
0.106,0.1299264
0.107,0.1304408
0.108,0.131688
0.109,0.1321848
0.11,0.132684
0.111,0.1331996
0.112,0.1340384
0.113,0.1356272
0.114,0.1363104
0.115,0.136742
0.116,0.1377176
0.117,0.1379424
0.118,0.1390992
0.119,0.1399568
0.12,0.141364
0.121,0.1427424
0.122,0.1432392
0.123,0.1437284
0.124,0.1449856
0.125,0.14555
0.126,0.1464536
0.127,0.147386
0.128,0.1481
0.129,0.1490796
0.13,0.149668
0.131,0.1504432
0.132,0.1509
0.133,0.1517152
0.134,0.153912
0.135,0.154988
0.136,0.1557
0.137,0.1558932
0.138,0.1567968
0.139,0.1578004
0.14,0.158124
0.141,0.1599
0.142,0.1600336
0.143,0.1626592
0.144,0.1638552
0.145,0.1645
0.146,0.1649768
0.147,0.166046
0.148,0.1672
0.149,0.1675092
0.15,0.16842
0.151,0.1693872
0.152,0.1698888
0.153,0.1708032
0.154,0.171572
0.155,0.172258
0.156,0.1727616
0.157,0.173226
0.158,0.1736376
0.159,0.1741896
0.16,0.175428
0.161,0.1761592
0.162,0.177232
0.163,0.1777868
0.164,0.1795904
0.165,0.180082
0.166,0.1804976
0.167,0.1813072
0.168,0.1823
0.169,0.1833084
0.17,0.183824
0.171,0.1842156
0.172,0.1851344
0.173,0.1867964
0.174,0.1885264
0.175,0.18929
0.176,0.1895336
0.177,0.1905232
0.178,0.1917
0.179,0.1934332
0.18,0.193992
0.181,0.1949548
0.182,0.1958104
0.183,0.1963764
0.184,0.1967248
0.185,0.19896
0.186,0.1995696
0.187,0.2004196
0.188,0.2008536
0.189,0.2016412
0.19,0.202284
0.191,0.2030256
0.192,0.2041912
0.193,0.2049
0.194,0.2052
0.195,0.206202
0.196,0.2068112
0.197,0.2073092
0.198,0.2076536
0.199,0.2089164
0.2,0.21002
0.201,0.210618
0.202,0.2111272
0.203,0.2119928
0.204,0.2135344
0.205,0.21409
0.206,0.2147416
0.207,0.2153904
0.208,0.2161952
0.209,0.2167048
0.21,0.216956
0.211,0.2173596
0.212,0.2177896
0.213,0.2187336
0.214,0.2197408
0.215,0.220174
0.216,0.2208552
0.217,0.2213
0.218,0.2224848
0.219,0.225452
0.22,0.226876
0.221,0.2280868
0.222,0.2287984
0.223,0.2291
0.224,0.2292064
0.225,0.22971
0.226,0.2307272
0.227,0.2310344
0.228,0.2322416
0.229,0.2328244
0.23,0.23348
0.231,0.2347632
0.232,0.2353408
0.233,0.2358388
0.234,0.2370816
0.235,0.238646
0.236,0.2393
0.237,0.2398532
0.238,0.240284
0.239,0.2410208
0.24,0.24142
0.241,0.2422352
0.242,0.2430272
0.243,0.2434
0.244,0.2439784
0.245,0.244282
0.246,0.2445
0.247,0.2456676
0.248,0.2460856
0.249,0.247364
0.25,0.2479
0.251,0.2489144
0.252,0.2496
0.253,0.2500324
0.254,0.2511432
0.255,0.252018
0.256,0.2522648
0.257,0.2526756
0.258,0.2532152
0.259,0.2539324
0.26,0.254636
0.261,0.2553792
0.262,0.2557
0.263,0.2561468
0.264,0.2568504
0.265,0.257354
0.266,0.258276
0.267,0.2589612
0.268,0.2596296
0.269,0.2605156
0.27,0.261044
0.271,0.2613756
0.272,0.2619376
0.273,0.2621
0.274,0.2625
0.275,0.26337
0.276,0.2637
0.277,0.2639
0.278,0.2644008
0.279,0.2648088
0.28,0.2652
0.281,0.2656116
0.282,0.2669216
0.283,0.2677
0.284,0.2682448
0.285,0.268726
0.286,0.2693296
0.287,0.2699992
0.288,0.270984
0.289,0.2720404
0.29,0.272688
0.291,0.2733428
0.292,0.274456
0.293,0.2751548
0.294,0.2756584
0.295,0.276324
0.296,0.2769624
0.297,0.2773692
0.298,0.2779184
0.299,0.2792764
0.3,0.27978
0.301,0.2800836
0.302,0.2802872
0.303,0.2811908
0.304,0.2813
0.305,0.282596
0.306,0.2833
0.307,0.2838208
0.308,0.2854616
0.309,0.2881124
0.31,0.28858
0.311,0.289692
0.312,0.2920928
0.313,0.2927804
0.314,0.2933304
0.315,0.294172
0.316,0.2952
0.317,0.2968296
0.318,0.2978896
0.319,0.2982484
0.32,0.298952
0.321,0.2991556
0.322,0.3000368
0.323,0.3006
0.324,0.3010328
0.325,0.30188
0.326,0.3026472
0.327,0.3036632
0.328,0.3044424
0.329,0.3050844
0.33,0.306088
0.331,0.3065748
0.332,0.3068952
0.333,0.3076964
0.334,0.3079048
0.335,0.3087
0.336,0.3093192
0.337,0.3095264
0.338,0.3100504
0.339,0.3109204
0.34,0.311424
0.341,0.3118552
0.342,0.312856
0.343,0.3144
0.344,0.3148152
0.345,0.315442
0.346,0.3163456
0.347,0.3170428
0.348,0.3179528
0.349,0.3186
0.35,0.3191
0.351,0.3195636
0.352,0.3203032
0.353,0.3218124
0.354,0.3222744
0.355,0.322678
0.356,0.3232632
0.357,0.324
0.358,0.3245776
0.359,0.3257924
0.36,0.327388
0.361,0.3279992
0.362,0.3287032
0.363,0.3293204
0.364,0.3301416
0.365,0.330814
0.366,0.3317352
0.367,0.3324212
0.368,0.332924
0.369,0.3336568
0.37,0.334164
0.371,0.3346
0.372,0.3347392
0.373,0.3352856
0.374,0.3357856
0.375,0.33665
0.376,0.3374144
0.377,0.3385572
0.378,0.3391608
0.379,0.3396864
0.38,0.340604
0.381,0.3412864
0.382,0.3423
0.383,0.3424
0.384,0.3431
0.385,0.34383
0.386,0.344648
0.387,0.3458864
0.388,0.3460968
0.389,0.3466004
0.39,0.347116
0.391,0.3482152
0.392,0.3486224
0.393,0.349
0.394,0.3491
0.395,0.349866
0.396,0.3503256
0.397,0.3506584
0.398,0.3511656
0.399,0.3518456
0.4,0.3526
0.401,0.3533436
0.402,0.3538
0.403,0.354354
0.404,0.3550632
0.405,0.356032
0.406,0.3565616
0.407,0.3567652
0.408,0.3574688
0.409,0.3582724
0.41,0.359228
0.411,0.3596796
0.412,0.3599832
0.413,0.3605472
0.414,0.3611904
0.415,0.361488
0.416,0.3628928
0.417,0.3633012
0.418,0.3637192
0.419,0.3642336
0.42,0.365412
0.421,0.3658
0.422,0.3664576
0.423,0.3669912
0.424,0.3677264
0.425,0.3684
0.426,0.3687336
0.427,0.3691372
0.428,0.3693816
0.429,0.3701
0.43,0.3702
0.431,0.3706064
0.432,0.3711104
0.433,0.3721764
0.434,0.3726
0.435,0.373066
0.436,0.373648
0.437,0.3739732
0.438,0.3741768
0.439,0.3748412
0.44,0.375384
0.441,0.3759628
0.442,0.376
0.443,0.3763948
0.444,0.3774904
0.445,0.377902
0.446,0.378556
0.447,0.3799276
0.448,0.3802384
0.449,0.380682
0.45,0.38178
0.451,0.3823
0.452,0.3826088
0.453,0.3837308
0.454,0.3844
0.455,0.385194
0.456,0.3866416
0.457,0.3871452
0.458,0.3877904
0.459,0.3891
0.46,0.389972
0.461,0.3908192
0.462,0.3915264
0.463,0.3921004
0.464,0.3926112
0.465,0.393
0.466,0.3939776
0.467,0.3947624
0.468,0.3951696
0.469,0.3953
0.47,0.396704
0.471,0.397
0.472,0.3978976
0.473,0.3979084
0.474,0.3983064
0.475,0.39912
0.476,0.399768
0.477,0.4007032
0.478,0.4020832
0.479,0.4028488
0.48,0.403496
0.481,0.4043
0.482,0.4045704
0.483,0.4058388
0.484,0.4063696
0.485,0.407046
0.486,0.407348
0.487,0.4082532
0.488,0.4091568
0.489,0.410606
0.49,0.411892
0.491,0.4129732
0.492,0.4136
0.493,0.415674
0.494,0.4171784
0.495,0.417582
0.496,0.4181856
0.497,0.4187784
0.498,0.4191784
0.499,0.4196964
0.5,0.4206
0.501,0.4207036
0.502,0.4211504
0.503,0.4222108
0.504,0.4224
0.505,0.422536
0.506,0.4231
0.507,0.4232
0.508,0.4240288
0.509,0.4244648
0.51,0.426844
0.511,0.4279188
0.512,0.4288864
0.513,0.4292872
0.514,0.4300504
0.515,0.430762
0.516,0.4320608
0.517,0.4330836
0.518,0.4335296
0.519,0.4343788
0.52,0.435044
0.521,0.436178
0.522,0.4369792
0.523,0.4372656
0.524,0.4376
0.525,0.43888
0.526,0.4393
0.527,0.4396972
0.528,0.4401008
0.529,0.4406044
0.53,0.4409
0.531,0.4412232
0.532,0.4420304
0.533,0.4423188
0.534,0.4426792
0.535,0.443452
0.536,0.4437888
0.537,0.4442
0.538,0.4447104
0.539,0.4457404
0.54,0.446388
0.541,0.4468
0.542,0.4471512
0.543,0.4479576
0.544,0.4491168
0.545,0.449724
0.546,0.450128
0.547,0.4508076
0.548,0.4515912
0.549,0.452
0.55,0.45266
0.551,0.454
0.552,0.4544488
0.553,0.4549724
0.554,0.4560832
0.555,0.456896
0.556,0.4572016
0.557,0.4580156
0.558,0.4585176
0.559,0.4589248
0.56,0.459532
0.561,0.4603784
0.562,0.4611
0.563,0.4612804
0.564,0.4616608
0.565,0.462702
0.566,0.4631
0.567,0.4634472
0.568,0.4646448
0.569,0.4649968
0.57,0.465668
0.571,0.4662556
0.572,0.4668592
0.573,0.4674
0.574,0.4685664
0.575,0.46934
0.576,0.4698472
0.577,0.4711772
0.578,0.4714616
0.579,0.473
0.58,0.4737
0.581,0.4742
0.582,0.4743
0.583,0.4751904
0.584,0.4757144
0.585,0.4766
0.586,0.4768096
0.587,0.4783
0.588,0.4790016
0.589,0.4803408
0.59,0.481448
0.591,0.4817276
0.592,0.482
0.593,0.4823
0.594,0.4830688
0.595,0.48411
0.596,0.4848912
0.597,0.4855984
0.598,0.4862528
0.599,0.4867692
0.6,0.4882
0.601,0.489
0.602,0.4897
0.603,0.4911
0.604,0.4919744
0.605,0.492434
0.606,0.4944448
0.607,0.4954852
0.608,0.4964776
0.609,0.4966848
0.61,0.497492
0.611,0.4985
0.612,0.4995032
0.613,0.5003272
0.614,0.5014
0.615,0.5018
0.616,0.5022
0.617,0.5024212
0.618,0.5025496
0.619,0.5032284
0.62,0.503432
0.621,0.5044424
0.622,0.505296
0.623,0.5059284
0.624,0.5063928
0.625,0.5067
0.626,0.5073536
0.627,0.5080144
0.628,0.5086
0.629,0.5088644
0.63,0.5096
0.631,0.5100148
0.632,0.5116504
0.633,0.512988
0.634,0.5140648
0.635,0.515074
0.636,0.5155792
0.637,0.5164932
0.638,0.5169872
0.639,0.5176032
0.64,0.518956
0.641,0.5209076
0.642,0.5212112
0.643,0.521674
0.644,0.5223184
0.645,0.523244
0.646,0.5240768
0.647,0.5247
0.648,0.5252328
0.649,0.5257092
0.65,0.52668
0.651,0.5271872
0.652,0.5279248
0.653,0.529454
0.654,0.5299
0.655,0.531296
0.656,0.5319
0.657,0.5326608
0.658,0.5336816
0.659,0.5345172
0.66,0.535656
0.661,0.5359
0.662,0.5362
0.663,0.5366472
0.664,0.538352
0.665,0.539088
0.666,0.5393
0.667,0.5405
0.668,0.5409288
0.669,0.5416084
0.67,0.541972
0.671,0.5426936
0.672,0.5442576
0.673,0.5448684
0.674,0.5456112
0.675,0.54686
0.676,0.5476
0.677,0.5479744
0.678,0.5485408
0.679,0.5488888
0.68,0.549948
0.681,0.550558
0.682,0.5516104
0.683,0.5525176
0.684,0.5530624
0.685,0.554986
0.686,0.5563696
0.687,0.5572732
0.688,0.5578304
0.689,0.5585412
0.69,0.559452
0.691,0.5599
0.692,0.5608208
0.693,0.5616896
0.694,0.5626968
0.695,0.563104
0.696,0.5638112
0.697,0.5644092
0.698,0.5646128
0.699,0.5651164
0.7,0.56586
0.701,0.5671
0.702,0.5678272
0.703,0.5682308
0.704,0.5687344
0.705,0.5695
0.706,0.5698248
0.707,0.571326
0.708,0.5720976
0.709,0.5728
0.71,0.573536
0.711,0.5744788
0.712,0.5748264
0.713,0.5754668
0.714,0.5770632
0.715,0.577722
0.716,0.5781
0.717,0.5785812
0.718,0.579
0.719,0.5793884
0.72,0.579784
0.721,0.5804868
0.722,0.5808992
0.723,0.5812056
0.724,0.5818256
0.725,0.5825
0.726,0.5828272
0.727,0.5832688
0.728,0.5844416
0.729,0.5854196
0.73,0.586928
0.731,0.5874896
0.732,0.5881056
0.733,0.5892104
0.734,0.5903
0.735,0.5908
0.736,0.591
0.737,0.5914596
0.738,0.5920568
0.739,0.5928228
0.74,0.5944
0.741,0.5951056
0.742,0.5956848
0.743,0.596474
0.744,0.5969
0.745,0.598182
0.746,0.5995136
0.747,0.6009892
0.748,0.6015928
0.749,0.6017964
0.75,0.6027
0.751,0.6032036
0.752,0.6035432
0.753,0.6049108
0.754,0.6053152
0.755,0.606218
0.756,0.6069512
0.757,0.6086252
0.758,0.6094
0.759,0.610062
0.76,0.611244
0.761,0.6117
0.762,0.6122
0.763,0.6125468
0.764,0.6130504
0.765,0.613708
0.766,0.6140576
0.767,0.6156612
0.768,0.616224
0.769,0.6174684
0.77,0.618372
0.771,0.6195024
0.772,0.620296
0.773,0.6207828
0.774,0.621432
0.775,0.6222
0.776,0.6226936
0.777,0.6239804
0.778,0.6244
0.779,0.6251044
0.78,0.625608
0.781,0.6264464
0.782,0.6272456
0.783,0.6277564
0.784,0.6283
0.785,0.629852
0.786,0.6303296
0.787,0.6306332
0.788,0.631284
0.789,0.6321848
0.79,0.633552
0.791,0.6342
0.792,0.6345536
0.793,0.6352
0.794,0.6363
0.795,0.636862
0.796,0.6378656
0.797,0.6382692
0.798,0.6394096
0.799,0.6399764
0.8,0.64028
0.801,0.6411836
0.802,0.6416744
0.803,0.6419
0.804,0.6430608
0.805,0.644194
0.806,0.6447016
0.807,0.6456104
0.808,0.6472088
0.809,0.6478124
0.81,0.649416
0.811,0.6497176
0.812,0.6506464
0.813,0.6512876
0.814,0.6522216
0.815,0.653368
0.816,0.6541
0.817,0.6551412
0.818,0.6552
0.819,0.6566484
0.82,0.657656
0.821,0.6583556
0.822,0.659
0.823,0.6592256
0.824,0.6598
0.825,0.66017
0.826,0.6604736
0.827,0.6616316
0.828,0.6623808
0.829,0.6634
0.83,0.664188
0.831,0.6648
0.832,0.6651
0.833,0.6656964
0.834,0.6668072
0.835,0.667606
0.836,0.6683672
0.837,0.6695264
0.838,0.6701672
0.839,0.6706816
0.84,0.671248
0.841,0.6725276
0.842,0.6734872
0.843,0.6748696
0.844,0.6754384
0.845,0.676826
0.846,0.6782
0.847,0.6786968
0.848,0.6792112
0.849,0.6800128
0.85,0.68156
0.851,0.6831
0.852,0.6832672
0.853,0.6852124
0.854,0.6863464
0.855,0.687834
0.856,0.6885448
0.857,0.6892
0.858,0.6896776
0.859,0.6899
0.86,0.690896
0.861,0.6915984
0.862,0.6930032
0.863,0.6937136
0.864,0.6943104
0.865,0.695684
0.866,0.6968
0.867,0.6975212
0.868,0.6984992
0.869,0.6997852
0.87,0.700656
0.871,0.7014356
0.872,0.7023784
0.873,0.7028856
0.874,0.705832
0.875,0.7063
0.876,0.7067
0.877,0.7078288
0.878,0.7085608
0.879,0.7098644
0.88,0.710736
0.881,0.7116148
0.882,0.7124
0.883,0.7137364
0.884,0.7143648
0.885,0.71503
0.886,0.7163896
0.887,0.7171864
0.888,0.7193872
0.889,0.7199016
0.89,0.72312
0.891,0.7245
0.892,0.7249224
0.893,0.7257296
0.894,0.7262736
0.895,0.727344
0.896,0.7285256
0.897,0.7289292
0.898,0.7294
0.899,0.7296728
0.9,0.73024
0.901,0.7321668
0.902,0.7333416
0.903,0.7343556
0.904,0.7363808
0.905,0.737232
0.906,0.7390392
0.907,0.7416216
0.908,0.7442752
0.909,0.7448
0.91,0.745576
0.911,0.7462388
0.912,0.7468832
0.913,0.7487416
0.914,0.7507328
0.915,0.751888
0.916,0.7528856
0.917,0.7539024
0.918,0.7545192
0.919,0.7554504
0.92,0.756512
0.921,0.7571872
0.922,0.7596576
0.923,0.7622456
0.924,0.7630264
0.925,0.76379
0.926,0.765936
0.927,0.7674488
0.928,0.7682488
0.929,0.7737992
0.93,0.775844
0.931,0.7784516
0.932,0.7799416
0.933,0.7811764
0.934,0.782
0.935,0.78423
0.936,0.7852392
0.937,0.7880732
0.938,0.7887304
0.939,0.7904804
0.94,0.792404
0.941,0.795176
0.942,0.797112
0.943,0.7990636
0.944,0.8012744
0.945,0.802212
0.946,0.803856
0.947,0.8056092
0.948,0.8068128
0.949,0.8071164
0.95,0.80972
0.951,0.811118
0.952,0.8125632
0.953,0.8139464
0.954,0.8153128
0.955,0.81978
0.956,0.8218832
0.957,0.8226876
0.958,0.8265224
0.959,0.8283048
0.96,0.829784
0.961,0.8312556
0.962,0.8352584
0.963,0.8381016
0.964,0.8404448
0.965,0.84291
0.966,0.8450776
0.967,0.8488308
0.968,0.8514088
0.969,0.8528884
0.97,0.855084
0.971,0.8571736
0.972,0.8577
0.973,0.8584028
0.974,0.8592384
0.975,0.85992
0.976,0.8607272
0.977,0.8617988
0.978,0.8649416
0.979,0.8662976
0.98,0.869028
0.981,0.8705212
0.982,0.8725704
0.983,0.8753104
0.984,0.8777696
0.985,0.879446
0.986,0.881392
0.987,0.8845532
0.988,0.8872544
0.989,0.895618
0.99,0.899264
0.991,0.9098772
0.992,0.915068
0.993,0.9177976
0.994,0.919976
0.995,0.920582
0.996,0.9246992
0.997,0.9286436
0.998,0.9471344
0.999,0.9584876
1,0.9737
